trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
219,False,"{'a': 0.01, 'e': 0.11304153064044985}",20,0,-23.367186105941137,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
220,False,"{'a': 0.01, 'e': 0.11191674861732888}",20,11,-34.32368754824969,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
221,False,"{'a': 0.01, 'e': 0.11080315836233387}",25,0,-20.85124780200153,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
222,False,"{'a': 0.01, 'e': 0.10970064851551141}",20,0,36.070226647145525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.01, 'e': 0.10860910882495796}",30,16,27.60116493458423,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.01, 'e': 0.10752843013579495}",25,12,8.132739067078038,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.01, 'e': 0.1064585043792528}",25,10,-10.79862411717072,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.01, 'e': 0.10539922456186433}",25,3,5.873318140204897,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.01, 'e': 0.104350484754765}",25,12,14.22698613755492,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.01, 'e': 0.1033121800831002}",25,10,3.1216297738296586,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
229,False,"{'a': 0.01, 'e': 0.10228420671553744}",25,8,22.232495702924098,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.01, 'e': 0.1012664618538834}",20,11,17.84632814257474,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.01, 'e': 0.1002588437228037}",25,6,36.40955859567231,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.01, 'e': 0.09926125155964566}",20,15,10.418003979980504,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.01, 'e': 0.09827358560436154}",20,16,7.855886997569282,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.01, 'e': 0.09729574708953276}",25,13,24.701207704388057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.01, 'e': 0.09632763823049303}",20,9,15.4696195522131,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.09536916221554961}",20,16,7.884094177601352,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.01, 'e': 0.09442022319630235}",25,8,24.921019516698255,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.01, 'e': 0.09348072627805847}",30,24,11.173154345369086,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.01, 'e': 0.09255057751034329}",20,2,23.27938620825921,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.01, 'e': 0.09162968387750484}",20,13,12.069202598987072,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.01, 'e': 0.09071795328941251}",25,10,27.936689046714687,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08981529457224763}",30,21,16.21252369253261,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,8,20.94514258653152,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.08803683258237255}",25,12,-6.148741622229244,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.0871608514619813}",20,0,31.70663464099822,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.0862935864993705}",20,0,16.861298704593732,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
247,False,"{'a': 0.01, 'e': 0.08543495096732123}",30,8,39.11339698724043,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.08458485900156469}",20,10,7.321418863723984,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.08374322559219596}",20,10,18.93977092348718,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
